key,calls,input_tokens,output_tokens,reasoning_tokens,cache_read,cache_write,cost_usd,planner_model,worker_model
msweep2-impl-terra-r1|openai/gpt-5.6-terra,16,455391,72675,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-terra
msweep2-impl-terra-r2|openai/gpt-5.6-terra,21,378826,56986,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-terra
msweep3-c2g-r1|openrouter/anthropic/claude-sonnet-4.6,1,3,3207,0,0,0,0.1395,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2g-r2|openrouter/anthropic/claude-sonnet-4.6,2,8,10544,0,0,0,0.3217,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2g-r3|openrouter/anthropic/claude-sonnet-4.6,1,3,3199,0,0,0,0.1394,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2g-r4|openrouter/anthropic/claude-sonnet-4.6,1,3,3419,0,0,0,0.1427,openrouter/anthropic/claude-sonnet-4.6,gemini/gemini-3.8-flash
msweep3-c2s-r1|openai/gpt-5.6-sol,1,21960,5152,0,0,0,0.0,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r1|openrouter/anthropic/claude-sonnet-4.6,1,3,3235,0,0,0,0.1399,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r2|openai/gpt-5.6-sol,1,22019,7648,0,0,0,0.0,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r2|openrouter/anthropic/claude-sonnet-4.6,1,3,3278,0,0,0,0.1405,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r3|openai/gpt-5.6-sol,1,21906,7328,0,0,0,0.0,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r3|openrouter/anthropic/claude-sonnet-4.6,1,3,3170,0,0,0,0.1389,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r4|openai/gpt-5.6-sol,1,23968,7351,0,0,0,0.0,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-c2s-r4|openrouter/anthropic/claude-sonnet-4.6,1,3,3305,0,0,0,0.141,openrouter/anthropic/claude-sonnet-4.6,openai/gpt-5.6-sol
msweep3-d2g-r1|opencode-go/deepseek-v4.1-flash,1,23391,2775,0,0,0,0.0053,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2g-r2|opencode-go/deepseek-v4.1-flash,2,27842,3343,0,0,0,0.0062,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2g-r3|opencode-go/deepseek-v4.1-flash,1,52300,3308,0,0,0,0.01,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2g-r4|opencode-go/deepseek-v4.1-flash,3,145930,9290,0,0,0,0.0288,opencode-go/deepseek-v4.1-flash,gemini/gemini-3.8-flash
msweep3-d2s-r1|openai/gpt-5.6-sol,1,22679,7040,0,0,0,0.0,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r1|opencode-go/deepseek-v4.1-flash,1,41871,4373,0,0,0,0.0092,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r2|openai/gpt-5.6-sol,2,55651,15238,0,0,0,0.0,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r2|opencode-go/deepseek-v4.1-flash,2,34858,4715,0,0,0,0.0081,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r3|openai/gpt-5.6-sol,2,51442,13772,0,0,0,0.0,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r3|opencode-go/deepseek-v4.1-flash,2,27777,3104,0,0,0,0.006,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r4|openai/gpt-5.6-sol,1,21183,5822,0,0,0,0.0,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-d2s-r4|opencode-go/deepseek-v4.1-flash,1,21878,2142,0,0,0,0.0046,opencode-go/deepseek-v4.1-flash,openai/gpt-5.6-sol
msweep3-g2gor-r1|openrouter/google/gemini-3.8-flash,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openrouter/google/gemini-3.8-flash
msweep3-g2gor-r2|openrouter/google/gemini-3.8-flash,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openrouter/google/gemini-3.8-flash
msweep3-g2gor-r3|openrouter/google/gemini-3.8-flash,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openrouter/google/gemini-3.8-flash
msweep3-g2s-r1|openai/gpt-5.6-sol,1,25274,5802,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-g2s-r2|openai/gpt-5.6-sol,22,248244,59235,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-g2s-r3|openai/gpt-5.6-sol,13,23232,5103,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-g2s-r4|openai/gpt-5.6-sol,13,148,6072,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-sol
msweep3-s2g-r1|openai/gpt-5.6-sol,1,19815,2683,0,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2g-r2|openai/gpt-5.6-sol,1,19815,2785,0,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2g-r3|openai/gpt-5.6-sol,1,19815,2515,0,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2g-r4|openai/gpt-5.6-sol,1,17767,2519,0,0,0,0.0,openai/gpt-5.6-sol,gemini/gemini-3.8-flash
msweep3-s2gor-r1|openai/gpt-5.6-sol,22,110698,15672,0,0,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r1|openrouter/google/gemini-3.8-flash,6,0,0,0,0,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r2|openai/gpt-5.6-sol,22,93034,15973,0,0,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r2|openrouter/google/gemini-3.8-flash,6,0,0,0,0,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r3|openai/gpt-5.6-sol,22,75267,13632,0,0,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2gor-r3|openrouter/google/gemini-3.8-flash,5,0,0,0,0,0,0.0,openai/gpt-5.6-sol,openrouter/google/gemini-3.8-flash
msweep3-s2s-r1|openai/gpt-5.6-sol,2,39375,8785,0,0,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep3-s2s-r2|openai/gpt-5.6-sol,2,41289,9819,0,0,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep3-s2s-r3|openai/gpt-5.6-sol,2,39231,10599,0,0,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep3-s2s-r4|openai/gpt-5.6-sol,2,43494,8773,0,0,0,0.0,openai/gpt-5.6-sol,openai/gpt-5.6-sol
msweep4-impl-grok-r1|opencode-go/grok-4.6,1,78901,8819,0,0,0,0.3829,gemini/gemini-3.8-flash,opencode-go/grok-4.6
msweep4-impl-grok-r2|opencode-go/grok-4.6,1,77514,8815,0,0,0,0.4448,gemini/gemini-3.8-flash,opencode-go/grok-4.6
msweep4-impl-luna-r1-routefail|openai/gpt-5.6-luna,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-luna
msweep4-impl-luna-r2-routefail|openai/gpt-5.6-luna,22,0,0,0,0,0,0.0,gemini/gemini-3.8-flash,openai/gpt-5.6-luna
