run_id,planner_model,worker_model,index_status,attempts,seconds,accepted,accept_turn,turns_used,turns_cap,best_level,first_failed_histogram,area_cell_count,area_reduction_pct,holdout_note,history_statuses,candidate_sha256
msweep-adv-minimax-r1,opencode-go/minimax-m3,gemini/gemini-3.8-flash,done,1,251.8,True,1,1,16,4,{},29674,36.18,36/36 hidden cases passed,"[""accepted""]",65aaef7b148b8d8a5f6c9f8f9eb459c788f26f833ee8c64ece6811357ad220c2
msweep-adv-minimax-r2,opencode-go/minimax-m3,gemini/gemini-3.8-flash,done,1,536.2,True,1,1,16,4,{},28790,38.08,36/36 hidden cases passed,"[""accepted""]",7d34559a2281210ecbc45ecb81ffe622e745b45c6ba3c58bf5cd640a3608ddc7
msweep-adv-sol-r1,openai/gpt-5.6-sol,gemini/gemini-3.8-flash,done,1,543.0,True,2,2,16,4,"{""functional"": 1}",28819,38.02,36/36 hidden cases passed,"[""promoted"", ""accepted""]",a9f05d5595d25edd93f38ae8571afc6487a12214e6b2e17cd4105f37f3e9a095
msweep-adv-sol-r2,openai/gpt-5.6-sol,gemini/gemini-3.8-flash,done,1,385.6,True,2,2,16,4,"{""functional"": 1}",28750,38.17,36/36 hidden cases passed,"[""promoted"", ""accepted""]",ff198c4ac2a879827d650e81b3415d50bcd38b65555b6d6dfd0af06dcbbff01f
msweep-impl-astra-r1,gemini/gemini-3.8-flash,openai/gpt-6-astra,done,1,334.7,False,,16,16,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-astra-r2,gemini/gemini-3.8-flash,openai/gpt-6-astra,done,1,234.6,False,,16,16,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-claude-r1,gemini/gemini-3.8-flash,openrouter/anthropic/claude-sonnet-4.6,unindexed,,3520.2,False,,16,16,1,"{""functional"": 15, ""lint"": 1}",,,,"[""promoted"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected""]",bc967e739649e48527267acfd2fecce41e31f0f7b1c02f0ac27069137f6ef34b
msweep-impl-claude-r2,gemini/gemini-3.8-flash,openrouter/anthropic/claude-sonnet-4.6,done,1,3087.2,False,,16,16,1,"{""functional"": 16}",,,,"[""promoted"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected""]",b4e9481412b7d3196024e7a8436f98471f354ab7d2370725c85a395f65bc8141
msweep-impl-deepseek-r1,gemini/gemini-3.8-flash,opencode-go/deepseek-v4.1-flash,done,1,2513.2,False,,16,16,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-deepseek-r2,gemini/gemini-3.8-flash,opencode-go/deepseek-v4.1-flash,done,1,2482.0,False,,16,16,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-glm-r1,gemini/gemini-3.8-flash,opencode-go/glm-5.3-flash,done,1,1103.9,False,,16,16,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-glm-r2,gemini/gemini-3.8-flash,opencode-go/glm-5.3-flash,done,1,4338.0,False,,16,16,1,"{""functional"": 6}",,,,"[""implement_failed"", ""implement_failed"", ""promoted"", ""rejected"", ""stall"", ""stall"", ""rejected"", ""rejected"", ""stall"", ""stall"", ""stall"", ""stall"", ""stall"", ""stall"", ""rejected"", ""rejected""]",fdabb84227d52fdf1ae3523791d029364f2024ce45fefe9e331e6a0e54a0757d
msweep-impl-kimi-r1,gemini/gemini-3.8-flash,opencode-go/kimi-k2.7-code,done,1,8140.1,False,,16,16,1,"{""functional"": 4}",,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""promoted"", ""stall"", ""rejected"", ""stall"", ""rejected"", ""rejected"", ""stall"", ""stall"", ""stall"", ""stall"", ""stall"", ""stall""]",c02af846aba69b612bfef456ecfe16f7bbc5f0a1893721b76ceed2d5c30686a8
msweep-impl-kimi-r2,,,unindexed,,,False,,5,,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-minimax-r1,gemini/gemini-3.8-flash,opencode-go/minimax-m3,done,1,3428.9,False,,16,16,1,"{""functional"": 3}",,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""promoted"", ""stall"", ""stall"", ""rejected"", ""stall"", ""stall"", ""rejected"", ""stall"", ""stall"", ""stall"", ""stall"", ""stall"", ""stall""]",b9e5aa153bb7831c81bc9a8725baad9ae923aa85123493dcae44083586d51ee6
msweep-impl-minimax-r2,,,unindexed,,,False,,14,,0,{},,,,"[""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed"", ""implement_failed""]",
msweep-impl-sol-r1,gemini/gemini-3.8-flash,openai/gpt-5.6-sol,done,1,1552.4,True,8,8,16,4,"{""functional"": 7}",29047,37.53,36/36 hidden cases passed,"[""promoted"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""rejected"", ""accepted""]",2900c20180d671ad5a06f2183a1c29c4b2f6c22e165b364e9f3708da6af058c2
msweep-impl-sol-r2,gemini/gemini-3.8-flash,openai/gpt-5.6-sol,done,1,574.8,True,3,3,16,4,"{""functional"": 2}",29241,37.11,36/36 hidden cases passed,"[""promoted"", ""rejected"", ""accepted""]",73dc1116999829b9576ee17d1fc5c4ae7d2f4389852b4a52789537c0c2f1120c
msweep-ref-gemini-r1,gemini/gemini-3.8-flash,gemini/gemini-3.8-flash,done,1,288.6,True,2,2,16,4,"{""functional"": 1}",28798,38.06,36/36 hidden cases passed,"[""promoted"", ""accepted""]",83bec57c84b2a9be08ee799e64dc8a639956b3a91efc6a1c9477c9e9bb030410
msweep-ref-gemini-r2,gemini/gemini-3.8-flash,gemini/gemini-3.8-flash,done,1,266.5,True,2,2,16,4,"{""functional"": 1}",27748,40.32,36/36 hidden cases passed,"[""promoted"", ""accepted""]",aacf7a02455fad09008b681a43b22d05cd76e9cdd18cf596a7bf210d715213b0
